transaccion_id,cliente_id,producto_id,fecha,cantidad,precio_unitario,subtotal,descuento_pct,descuento_monto,costo_envio,total,metodo_pago,estado_envio
T000030,C00006,P0144,2025-11-13,1,136210.99,136210.99,0,0.0,0.0,136210.99,Tarjeta de débito,Entregado
T000031,C00006,P0153,2026-05-18,1,80540.99,80540.99,10,8054.1,0.0,72486.89,Transferencia bancaria,Entregado
T000032,C00006,P0030,2025-08-25,2,42840.99,85681.98,0,0.0,0.0,85681.98,Tarjeta de crédito,Entregado
T000033,C00006,P0160,2025-09-10,2,143890.99,287781.98,0,0.0,0.0,287781.98,Mercado Pago,En camino
T000034,C00007,P0016,2025-11-29,1,82230.99,82230.99,0,0.0,0.0,82230.99,Mercado Pago,Entregado
T000035,C00007,P0160,2026-02-15,1,143890.99,143890.99,15,21583.65,0.0,122307.34,Mercado Pago,Entregado
T000036,C00008,P0104,2026-02-16,4,56920.99,227683.96,0,0.0,0.0,227683.96,Mercado Pago,Entregado
T000037,C00008,P0113,2026-01-19,1,45170.99,45170.99,0,0.0,0.0,45170.99,Efectivo (contra entrega),Entregado
T000038,C00008,P0183,2024-10-01,2,28350.99,56701.98,0,0.0,0.0,56701.98,Efectivo (contra entrega),Entregado
T000039,C00008,P0128,2023-12-23,1,68490.99,68490.99,0,0.0,0.0,68490.99,Mercado Pago,Entregado
T000040,C00008,P0008,2024-11-17,1,44030.99,44030.99,10,4403.1,0.0,39627.89,Transferencia bancaria,Entregado
T000041,C00009,P0157,2025-06-23,1,2850.99,2850.99,0,0.0,3525.69,6376.68,Efectivo (contra entrega),Entregado
T000042,C00009,P0070,2023-12-03,1,59790.99,59790.99,10,5979.1,0.0,53811.89,Tarjeta de crédito,Entregado
T000043,C00009,P0151,2024-10-01,1,43590.99,43590.99,0,0.0,0.0,43590.99,Efectivo (contra entrega),Entregado
T000044,C00009,P0012,2024-02-25,1,113560.99,113560.99,0,0.0,0.0,113560.99,Mercado Pago,Entregado
T000045,C00009,P0157,2026-08-07,3,2850.99,8552.97,0,0.0,2716.37,11269.34,Tarjeta de crédito,Cancelado
T000046,C00009,P0185,2024-08-01,2,120880.99,241761.98,5,12088.1,0.0,229673.88,Tarjeta de crédito,En camino
T000047,C00009,P0161,2023-07-21,1,92880.99,92880.99,5,4644.05,0.0,88236.94,Transferencia bancaria,Entregado
T000048,C00009,P0064,2025-04-13,1,71270.99,71270.99,10,7127.1,0.0,64143.89,Efectivo (contra entrega),Entregado
T000049,C00010,P0133,2025-09-13,2,23360.99,46721.98,5,2336.1,0.0,44385.88,Tarjeta de débito,Entregado
T000050,C00010,P0003,2024-11-26,2,95520.99,191041.98,0,0.0,0.0,191041.98,Efectivo (contra entrega),Entregado
T000051,C00010,P0081,2024-03-24,1,108380.99,108380.99,0,0.0,0.0,108380.99,Tarjeta de crédito,Entregado
T000052,C00010,P0025,2023-11-17,1,22880.99,22880.99,10,2288.1,3013.08,23605.97,Tarjeta de débito,Entregado
T000053,C00010,P0060,2026-05-18,1,64800.99,64800.99,0,0.0,0.0,64800.99,Efectivo (contra entrega),Preparando
T000054,C00010,P0117,2024-09-29,1,122170.99,122170.99,10,12217.1,0.0,109953.89,Tarjeta de crédito,Entregado
T000055,C00010,P0156,2023-12-07,1,23880.99,23880.99,5,1194.05,4205.95,26892.89,Tarjeta de crédito,Entregado
T000056,C00010,P0144,2024-06-07,2,136210.99,272421.98,10,27242.2,0.0,245179.78,Efectivo (contra entrega),Entregado
T000057,C00011,P0147,2026-04-12,1,92490.99,92490.99,0,0.0,0.0,92490.99,Tarjeta de débito,Entregado
T000058,C00011,P0039,2026-03-15,3,44450.99,133352.97,0,0.0,0.0,133352.97,Mercado Pago,Entregado
T000059,C00011,P0014,2026-07-15,1,68510.99,68510.99,5,3425.55,0.0,65085.44,Efectivo (contra entrega),Entregado
T000060,C00011,P0165,2026-08-09,1,8750.99,8750.99,0,0.0,2931.42,11682.41,Tarjeta de crédito,Entregado
T000061,C00011,P0136,2026-07-03,1,47130.99,47130.99,15,7069.65,0.0,40061.34,Tarjeta de débito,Entregado
T000062,C00013,P0162,2024-12-27,1,60870.99,60870.99,0,0.0,0.0,60870.99,Tarjeta de débito,Entregado
T000063,C00013,P0177,2026-06-10,1,26110.99,26110.99,0,0.0,2586.81,28697.8,Efectivo (contra entrega),Entregado
T000064,C00013,P0166,2025-05-01,1,11070.99,11070.99,10,1107.1,2770.68,12734.57,Mercado Pago,Entregado
T000065,C00013,P0011,2025-04-18,4,26210.99,104843.96,0,0.0,0.0,104843.96,Efectivo (contra entrega),Entregado
T000066,C00013,P0154,2025-10-21,2,30800.99,61601.98,0,0.0,0.0,61601.98,Efectivo (contra entrega),Entregado
T000067,C00013,P0123,2026-07-05,1,57150.99,57150.99,20,11430.2,0.0,45720.79,Transferencia bancaria,Entregado
T000068,C00014,P0078,2025-12-29,1,82230.99,82230.99,10,8223.1,0.0,74007.89,Tarjeta de débito,Entregado
T000069,C00014,P0010,2025-12-02,1,99010.99,99010.99,5,4950.55,0.0,94060.44,Tarjeta de débito,Entregado
T000070,C00014,P0068,2026-04-03,1,120640.99,120640.99,10,12064.1,0.0,108576.89,Efectivo (contra entrega),En camino
T000071,C00014,P0133,2026-05-12,1,23360.99,23360.99,5,1168.05,1982.21,24175.15,Tarjeta de crédito,Cancelado
T000072,C00014,P0099,2026-06-22,2,10460.99,20921.98,10,2092.2,2915.01,21744.79,Tarjeta de crédito,Entregado
T000073,C00014,P0079,2025-11-11,1,9850.99,9850.99,0,0.0,1740.12,11591.11,Transferencia bancaria,Entregado
T000074,C00014,P0015,2026-06-10,3,48920.99,146762.97,0,0.0,0.0,146762.97,Mercado Pago,Entregado
T000075,C00015,P0145,2025-01-18,3,60290.99,180872.97,0,0.0,0.0,180872.97,Tarjeta de débito,Entregado
T000076,C00015,P0052,2025-11-12,1,93290.99,93290.99,0,0.0,0.0,93290.99,Efectivo (contra entrega),Entregado
T000077,C00015,P0044,2024-04-03,1,73620.99,73620.99,0,0.0,0.0,73620.99,Efectivo (contra entrega),Entregado
T000078,C00015,P0124,2023-05-26,1,55570.99,55570.99,5,2778.55,0.0,52792.44,Mercado Pago,Entregado
T000079,C00015,P0052,2023-01-12,1,93290.99,93290.99,0,0.0,0.0,93290.99,Mercado Pago,Entregado
T000080,C00015,P0112,2026-05-09,2,52410.99,104821.98,0,0.0,0.0,104821.98,Efectivo (contra entrega),Entregado
T000081,C00015,P0043,2023-07-14,1,35310.99,35310.99,0,0.0,0.0,35310.99,Tarjeta de crédito,Entregado
T000082,C00016,P0086,2026-05-02,1,17970.99,17970.99,10,1797.1,4245.03,20418.92,Mercado Pago,Entregado
T000083,C00016,P0013,2026-03-12,1,33690.99,33690.99,20,6738.2,0.0,26952.79,Transferencia bancaria,Entregado
T000084,C00016,P0012,2025-12-26,1,113560.99,113560.99,0,0.0,0.0,113560.99,Tarjeta de crédito,Entregado
T000085,C00016,P0097,2026-03-23,1,118090.99,118090.99,0,0.0,0.0,118090.99,Tarjeta de crédito,Entregado
T000086,C00016,P0065,2025-11-15,2,36490.99,72981.98,20,14596.4,0.0,58385.58,Efectivo (contra entrega),Preparando
T000087,C00016,P0173,2026-02-28,1,7980.99,7980.99,0,0.0,2631.24,10612.23,Tarjeta de débito,Entregado
T000088,C00016,P0089,2025-10-14,2,70110.99,140221.98,20,28044.4,0.0,112177.58,Transferencia bancaria,Entregado
T000089,C00016,P0077,2025-12-28,2,80070.99,160141.98,10,16014.2,0.0,144127.78,Mercado Pago,Entregado
T000090,C00016,P0022,2026-02-18,1,86110.99,86110.99,5,4305.55,0.0,81805.44,Tarjeta de débito,Cancelado
T000091,C00016,P0097,2025-12-03,2,118090.99,236181.98,0,0.0,0.0,236181.98,Efectivo (contra entrega),Entregado
T000092,C00016,P0047,2026-06-18,1,14020.99,14020.99,10,1402.1,2244.77,14863.66,Mercado Pago,Entregado
T000093,C00016,P0014,2025-11-02,1,68510.99,68510.99,15,10276.65,0.0,58234.34,Mercado Pago,Entregado
T000094,C00016,P0014,2026-03-01,1,68510.99,68510.99,0,0.0,0.0,68510.99,Tarjeta de débito,Entregado
T000095,C00016,P0059,2025-09-25,1,66790.99,66790.99,0,0.0,0.0,66790.99,Mercado Pago,Entregado
T000096,C00020,P0112,2025-04-13,1,52410.99,52410.99,0,0.0,0.0,52410.99,Tarjeta de crédito,Entregado
T000097,C00020,P0141,2026-04-11,1,10330.99,10330.99,5,516.55,3341.48,13155.92,Efectivo (contra entrega),Entregado
T000098,C00020,P0080,2024-08-29,3,16720.99,50162.97,10,5016.3,0.0,45146.67,Mercado Pago,Entregado
T000099,C00020,P0144,2024-11-03,1,136210.99,136210.99,20,27242.2,0.0,108968.79,Mercado Pago,Preparando
T000100,C00020,P0010,2026-05-14,1,99010.99,99010.99,20,19802.2,0.0,79208.79,Mercado Pago,Preparando
T000101,C00020,P0118,2026-03-05,1,39730.99,39730.99,10,3973.1,0.0,35757.89,Efectivo (contra entrega),Entregado
T000102,C00020,P0142,2025-08-04,2,80160.99,160321.98,0,0.0,0.0,160321.98,Efectivo (contra entrega),Entregado
T000103,C00020,P0089,2026-07-13,1,70110.99,70110.99,10,7011.1,0.0,63099.89,Transferencia bancaria,Entregado
T000104,C00021,P0082,2025-01-10,1,70870.99,70870.99,0,0.0,0.0,70870.99,Tarjeta de crédito,Entregado
T000105,C00021,P0080,2026-06-13,1,16720.99,16720.99,0,0.0,1802.24,18523.23,Mercado Pago,Entregado
T000106,C00023,P0146,2025-08-07,1,77950.99,77950.99,0,0.0,0.0,77950.99,Mercado Pago,Cancelado
T000107,C00023,P0030,2023-07-31,1,42840.99,42840.99,0,0.0,0.0,42840.99,Mercado Pago,Entregado
T000108,C00023,P0076,2025-09-02,1,80370.99,80370.99,0,0.0,0.0,80370.99,Efectivo (contra entrega),Entregado
T000109,C00023,P0105,2024-08-09,1,8040.99,8040.99,0,0.0,2185.7,10226.69,Mercado Pago,Entregado
T000110,C00023,P0137,2026-04-30,2,37150.99,74301.98,0,0.0,0.0,74301.98,Tarjeta de débito,En camino
T000111,C00023,P0140,2024-02-08,1,116180.99,116180.99,20,23236.2,0.0,92944.79,Tarjeta de crédito,Entregado
T000112,C00025,P0163,2023-10-16,1,64460.99,64460.99,15,9669.15,0.0,54791.84,Efectivo (contra entrega),Entregado
T000113,C00026,P0046,2026-06-08,1,18770.99,18770.99,0,0.0,2252.92,21023.91,Tarjeta de crédito,En camino
T000114,C00026,P0041,2024-08-02,1,34130.99,34130.99,5,1706.55,0.0,32424.44,Mercado Pago,Entregado
T000115,C00026,P0046,2025-09-30,1,18770.99,18770.99,5,938.55,2849.56,20682.0,Mercado Pago,Entregado
T000116,C00026,P0075,2024-12-16,1,51680.99,51680.99,0,0.0,0.0,51680.99,Mercado Pago,En camino
T000117,C00026,P0037,2024-12-28,1,4430.99,4430.99,0,0.0,4102.11,8533.1,Tarjeta de débito,Cancelado
T000118,C00026,P0068,2026-05-11,1,120640.99,120640.99,5,6032.05,0.0,114608.94,Mercado Pago,Entregado
T000119,C00026,P0174,2026-04-30,1,50040.99,50040.99,5,2502.05,0.0,47538.94,Transferencia bancaria,Entregado
T000120,C00027,P0087,2026-07-08,1,92990.99,92990.99,0,0.0,0.0,92990.99,Tarjeta de débito,Entregado
T000121,C00027,P0180,2026-02-12,2,10110.99,20221.98,5,1011.1,4285.7,23496.58,Efectivo (contra entrega),Entregado
T000122,C00027,P0030,2025-08-04,1,42840.99,42840.99,10,4284.1,0.0,38556.89,Tarjeta de débito,Entregado
T000123,C00027,P0078,2025-12-01,1,82230.99,82230.99,0,0.0,0.0,82230.99,Mercado Pago,Entregado
T000124,C00027,P0092,2026-06-18,1,67840.99,67840.99,0,0.0,0.0,67840.99,Mercado Pago,Preparando
T000125,C00027,P0030,2026-05-17,2,42840.99,85681.98,0,0.0,0.0,85681.98,Tarjeta de débito,Entregado
T000126,C00027,P0073,2025-07-20,1,118250.99,118250.99,0,0.0,0.0,118250.99,Mercado Pago,Entregado
T000127,C00028,P0051,2025-12-29,1,22610.99,22610.99,0,0.0,1786.66,24397.65,Transferencia bancaria,Cancelado
T000128,C00028,P0037,2024-08-10,1,4430.99,4430.99,0,0.0,2691.04,7122.03,Tarjeta de crédito,Entregado
T000129,C00028,P0139,2025-01-20,1,76500.99,76500.99,5,3825.05,0.0,72675.94,Transferencia bancaria,Entregado
T000130,C00028,P0184,2024-06-22,1,11240.99,11240.99,0,0.0,2352.53,13593.52,Tarjeta de débito,Entregado
T000131,C00028,P0080,2024-10-03,1,16720.99,16720.99,0,0.0,1605.46,18326.45,Mercado Pago,Entregado
T000132,C00028,P0183,2024-09-25,2,28350.99,56701.98,0,0.0,0.0,56701.98,Mercado Pago,Preparando
T000133,C00028,P0072,2026-06-03,1,60590.99,60590.99,0,0.0,0.0,60590.99,Efectivo (contra entrega),Cancelado
T000134,C00029,P0156,2026-02-05,1,23880.99,23880.99,0,0.0,3746.73,27627.72,Transferencia bancaria,Preparando
T000135,C00029,P0105,2025-10-31,1,8040.99,8040.99,5,402.05,2428.98,10067.92,Efectivo (contra entrega),Entregado
T000136,C00029,P0027,2026-05-29,1,66770.99,66770.99,0,0.0,0.0,66770.99,Transferencia bancaria,Entregado
T000137,C00029,P0167,2026-06-16,1,116770.99,116770.99,0,0.0,0.0,116770.99,Tarjeta de débito,Entregado
T000138,C00029,P0029,2025-09-30,1,42890.99,42890.99,0,0.0,0.0,42890.99,Transferencia bancaria,Entregado
T000139,C00029,P0091,2026-02-28,3,27590.99,82772.97,0,0.0,0.0,82772.97,Transferencia bancaria,Entregado
T000140,C00029,P0030,2026-04-28,2,42840.99,85681.98,0,0.0,0.0,85681.98,Efectivo (contra entrega),En camino
T000141,C00029,P0035,2026-02-20,1,7230.99,7230.99,0,0.0,3181.66,10412.65,Tarjeta de débito,Entregado
T000142,C00030,P0183,2026-06-14,2,28350.99,56701.98,0,0.0,0.0,56701.98,Tarjeta de débito,Entregado
T000143,C00030,P0147,2026-04-12,1,92490.99,92490.99,10,9249.1,0.0,83241.89,Mercado Pago,Entregado
T000144,C00030,P0077,2026-04-11,1,80070.99,80070.99,5,4003.55,0.0,76067.44,Transferencia bancaria,En camino
T000145,C00030,P0003,2026-05-03,1,95520.99,95520.99,0,0.0,0.0,95520.99,Tarjeta de crédito,Entregado
T000146,C00030,P0105,2026-08-06,1,8040.99,8040.99,5,402.05,2316.4,9955.34,Tarjeta de débito,Entregado
T000147,C00030,P0046,2026-05-02,1,18770.99,18770.99,0,0.0,4409.15,23180.14,Tarjeta de crédito,Entregado
T000148,C00030,P0028,2026-07-28,1,49350.99,49350.99,0,0.0,0.0,49350.99,Tarjeta de crédito,Entregado
T000149,C00030,P0164,2026-02-07,1,32940.99,32940.99,0,0.0,0.0,32940.99,Mercado Pago,Entregado
T000150,C00030,P0010,2026-06-29,1,99010.99,99010.99,10,9901.1,0.0,89109.89,Mercado Pago,Entregado
T000151,C00030,P0013,2026-02-19,1,33690.99,33690.99,10,3369.1,0.0,30321.89,Tarjeta de débito,Entregado
T000152,C00030,P0126,2026-03-01,1,29260.99,29260.99,10,2926.1,1714.15,28049.04,Tarjeta de débito,Entregado
T000153,C00030,P0086,2026-07-27,2,17970.99,35941.98,0,0.0,0.0,35941.98,Tarjeta de crédito,Entregado
T000154,C00032,P0088,2026-07-01,1,32190.99,32190.99,20,6438.2,0.0,25752.79,Tarjeta de crédito,Entregado
T000155,C00032,P0179,2026-05-19,1,39260.99,39260.99,5,1963.05,0.0,37297.94,Tarjeta de débito,Entregado
T000156,C00032,P0038,2026-04-07,1,69100.99,69100.99,5,3455.05,0.0,65645.94,Mercado Pago,Entregado
T000157,C00032,P0002,2026-05-28,1,34510.99,34510.99,5,1725.55,0.0,32785.44,Efectivo (contra entrega),Entregado
T000158,C00032,P0125,2026-07-24,1,138210.99,138210.99,0,0.0,0.0,138210.99,Tarjeta de débito,Entregado
T000159,C00032,P0071,2026-07-19,1,14390.99,14390.99,0,0.0,3500.08,17891.07,Tarjeta de débito,Cancelado
T000160,C00032,P0064,2026-01-31,1,71270.99,71270.99,0,0.0,0.0,71270.99,Mercado Pago,Entregado
T000161,C00032,P0178,2026-07-13,1,82810.99,82810.99,0,0.0,0.0,82810.99,Tarjeta de crédito,Entregado
T000162,C00032,P0132,2026-02-15,1,34240.99,34240.99,5,1712.05,0.0,32528.94,Tarjeta de débito,Entregado
T000163,C00033,P0131,2025-12-01,2,17990.99,35981.98,0,0.0,0.0,35981.98,Efectivo (contra entrega),Entregado
T000164,C00033,P0013,2025-06-23,1,33690.99,33690.99,20,6738.2,0.0,26952.79,Tarjeta de crédito,Entregado
T000165,C00033,P0174,2026-02-11,1,50040.99,50040.99,5,2502.05,0.0,47538.94,Tarjeta de crédito,Entregado
T000166,C00033,P0182,2025-08-05,1,118780.99,118780.99,0,0.0,0.0,118780.99,Mercado Pago,Cancelado
T000167,C00034,P0179,2026-01-13,2,39260.99,78521.98,5,3926.1,0.0,74595.88,Transferencia bancaria,Entregado
T000168,C00034,P0179,2023-04-22,1,39260.99,39260.99,0,0.0,0.0,39260.99,Transferencia bancaria,Preparando
T000169,C00034,P0084,2023-12-23,2,106390.99,212781.98,0,0.0,0.0,212781.98,Transferencia bancaria,Entregado
T000170,C00034,P0104,2026-07-26,1,56920.99,56920.99,0,0.0,0.0,56920.99,Transferencia bancaria,Entregado
T000171,C00034,P0096,2023-05-22,1,32440.99,32440.99,10,3244.1,0.0,29196.89,Efectivo (contra entrega),Preparando
T000172,C00034,P0161,2025-02-24,1,92880.99,92880.99,0,0.0,0.0,92880.99,Mercado Pago,Entregado
T000173,C00034,P0063,2025-12-21,1,64680.99,64680.99,0,0.0,0.0,64680.99,Efectivo (contra entrega),Entregado
T000174,C00034,P0079,2025-01-16,1,9850.99,9850.99,0,0.0,1556.16,11407.15,Efectivo (contra entrega),En camino
T000175,C00036,P0131,2025-07-01,2,17990.99,35981.98,5,1799.1,0.0,34182.88,Transferencia bancaria,Entregado
T000176,C00036,P0009,2026-02-15,1,76570.99,76570.99,5,3828.55,0.0,72742.44,Tarjeta de débito,Entregado
T000177,C00036,P0172,2023-06-10,1,24980.99,24980.99,0,0.0,3422.71,28403.7,Efectivo (contra entrega),Entregado
T000178,C00036,P0141,2025-02-11,1,10330.99,10330.99,0,0.0,4313.4,14644.39,Tarjeta de crédito,Entregado
T000179,C00036,P0070,2024-11-05,1,59790.99,59790.99,0,0.0,0.0,59790.99,Efectivo (contra entrega),Entregado
T000180,C00036,P0160,2025-08-05,1,143890.99,143890.99,0,0.0,0.0,143890.99,Efectivo (contra entrega),Entregado
T000181,C00036,P0139,2025-07-15,2,76500.99,153001.98,0,0.0,0.0,153001.98,Efectivo (contra entrega),Entregado
T000182,C00036,P0085,2024-11-12,2,69850.99,139701.98,0,0.0,0.0,139701.98,Transferencia bancaria,Cancelado
T000183,C00036,P0058,2025-01-12,3,10690.99,32072.97,10,3207.3,0.0,28865.67,Tarjeta de crédito,Entregado
T000184,C00036,P0110,2026-07-01,1,148390.99,148390.99,5,7419.55,0.0,140971.44,Mercado Pago,Preparando
T000185,C00036,P0166,2023-06-30,2,11070.99,22141.98,0,0.0,3350.8,25492.78,Tarjeta de crédito,Entregado
T000186,C00037,P0153,2026-07-18,1,80540.99,80540.99,0,0.0,0.0,80540.99,Tarjeta de crédito,Entregado
T000187,C00038,P0179,2025-05-08,1,39260.99,39260.99,0,0.0,0.0,39260.99,Tarjeta de débito,Entregado
T000188,C00038,P0079,2023-08-24,1,9850.99,9850.99,15,1477.65,3175.27,11548.61,Tarjeta de crédito,Entregado
T000189,C00038,P0183,2025-04-23,2,28350.99,56701.98,0,0.0,0.0,56701.98,Transferencia bancaria,Entregado
T000190,C00038,P0134,2025-08-18,2,73170.99,146341.98,0,0.0,0.0,146341.98,Transferencia bancaria,Entregado
T000191,C00038,P0091,2026-05-24,1,27590.99,27590.99,5,1379.55,3101.7,29313.14,Mercado Pago,Entregado
T000192,C00038,P0044,2025-12-07,3,73620.99,220862.97,0,0.0,0.0,220862.97,Mercado Pago,Cancelado
T000193,C00038,P0065,2025-04-17,1,36490.99,36490.99,5,1824.55,0.0,34666.44,Mercado Pago,En camino
T000194,C00039,P0113,2024-03-13,1,45170.99,45170.99,0,0.0,0.0,45170.99,Efectivo (contra entrega),Entregado
T000195,C00039,P0045,2023-10-18,3,2330.99,6992.97,0,0.0,4384.96,11377.93,Transferencia bancaria,Entregado
T000196,C00041,P0075,2025-08-13,1,51680.99,51680.99,0,0.0,0.0,51680.99,Tarjeta de débito,Entregado
T000197,C00041,P0009,2026-06-23,4,76570.99,306283.96,0,0.0,0.0,306283.96,Tarjeta de débito,Entregado
T000198,C00041,P0096,2026-01-19,1,32440.99,32440.99,0,0.0,0.0,32440.99,Mercado Pago,Entregado
T000199,C00041,P0136,2025-09-23,3,47130.99,141392.97,0,0.0,0.0,141392.97,Efectivo (contra entrega),Entregado
T000200,C00041,P0034,2025-07-23,1,16800.99,16800.99,0,0.0,2566.97,19367.96,Mercado Pago,Entregado
T000201,C00041,P0019,2025-06-19,2,143070.99,286141.98,0,0.0,0.0,286141.98,Mercado Pago,Entregado
T000202,C00041,P0111,2026-01-13,1,59100.99,59100.99,0,0.0,0.0,59100.99,Tarjeta de crédito,Preparando
T000203,C00042,P0089,2024-05-31,1,70110.99,70110.99,0,0.0,0.0,70110.99,Efectivo (contra entrega),Entregado
T000204,C00042,P0049,2026-05-08,2,113080.99,226161.98,0,0.0,0.0,226161.98,Tarjeta de crédito,Entregado
T000205,C00043,P0006,2026-04-20,2,104670.99,209341.98,0,0.0,0.0,209341.98,Mercado Pago,En camino
T000206,C00043,P0070,2026-05-20,1,59790.99,59790.99,10,5979.1,0.0,53811.89,Tarjeta de crédito,Entregado
T000207,C00043,P0002,2026-04-01,2,34510.99,69021.98,0,0.0,0.0,69021.98,Efectivo (contra entrega),Entregado
T000208,C00043,P0125,2026-04-09,3,138210.99,414632.97,5,20731.65,0.0,393901.32,Tarjeta de crédito,Entregado
T000209,C00043,P0010,2026-07-19,1,99010.99,99010.99,0,0.0,0.0,99010.99,Tarjeta de débito,Entregado
T000210,C00043,P0019,2026-04-13,1,143070.99,143070.99,5,7153.55,0.0,135917.44,Transferencia bancaria,Entregado
T000211,C00043,P0127,2026-06-11,4,53930.99,215723.96,10,21572.4,0.0,194151.56,Tarjeta de crédito,Entregado
T000212,C00044,P0004,2026-02-27,1,73400.99,73400.99,10,7340.1,0.0,66060.89,Mercado Pago,Entregado
T000213,C00044,P0181,2026-05-04,1,14430.99,14430.99,0,0.0,1647.93,16078.92,Tarjeta de crédito,Entregado
T000214,C00044,P0148,2025-11-25,1,86710.99,86710.99,0,0.0,0.0,86710.99,Tarjeta de débito,Entregado
T000215,C00045,P0155,2025-05-18,1,108460.99,108460.99,0,0.0,0.0,108460.99,Tarjeta de débito,Entregado
T000216,C00045,P0139,2025-03-13,1,76500.99,76500.99,20,15300.2,0.0,61200.79,Tarjeta de débito,Entregado
T000217,C00045,P0156,2025-05-16,1,23880.99,23880.99,10,2388.1,2470.23,23963.12,Tarjeta de crédito,Cancelado
T000218,C00045,P0182,2026-03-31,1,118780.99,118780.99,0,0.0,0.0,118780.99,Tarjeta de débito,Entregado
T000219,C00045,P0087,2025-07-07,1,92990.99,92990.99,0,0.0,0.0,92990.99,Mercado Pago,Entregado
T000220,C00045,P0178,2025-11-28,1,82810.99,82810.99,0,0.0,0.0,82810.99,Transferencia bancaria,En camino
T000221,C00045,P0098,2026-03-07,1,66450.99,66450.99,0,0.0,0.0,66450.99,Tarjeta de débito,Cancelado
T000222,C00045,P0114,2025-06-16,1,17660.99,17660.99,0,0.0,3773.2,21434.19,Tarjeta de crédito,En camino
T000223,C00045,P0059,2025-11-11,2,66790.99,133581.98,0,0.0,0.0,133581.98,Tarjeta de débito,Entregado
T000224,C00045,P0043,2025-08-02,2,35310.99,70621.98,10,7062.2,0.0,63559.78,Tarjeta de crédito,Entregado
